station_id,time,temp
KRNM0,2013-09-14 00:00:00,31.7
KRNM0,2013-09-14 01:00:00,30.0
KRNM0,2013-09-14 02:00:00,25.0
KRNM0,2013-09-14 03:00:00,22.8
KRNM0,2013-09-14 04:00:00,20.6
KRNM0,2013-09-14 05:00:00,18.9
KRNM0,2013-09-14 06:00:00,17.8
KRNM0,2013-09-14 07:00:00,16.7
KRNM0,2013-09-14 08:00:00,15.0
KRNM0,2013-09-14 09:00:00,15.0
KRNM0,2013-09-14 10:00:00,15.0
KRNM0,2013-09-14 11:00:00,13.9
KRNM0,2013-09-14 12:00:00,12.8
KRNM0,2013-09-14 13:00:00,12.2
KRNM0,2013-09-14 14:00:00,14.4
KRNM0,2013-09-14 15:00:00,18.9
KRNM0,2013-09-14 16:00:00,26.7
KRNM0,2013-09-14 17:00:00,31.7
KRNM0,2013-09-14 18:00:00,32.8
KRNM0,2013-09-14 19:00:00,33.9
KRNM0,2013-09-14 20:00:00,35.0
KRNM0,2013-09-14 21:00:00,36.1
KRNM0,2013-09-14 22:00:00,34.4
KRNM0,2013-09-14 23:00:00,33.9
KRNM0,2013-09-15 00:00:00,32.2
KRNM0,2013-09-15 01:00:00,30.0
KRNM0,2013-09-15 02:00:00,26.1
KRNM0,2013-09-15 03:00:00,23.9
KRNM0,2013-09-15 04:00:00,22.2
KRNM0,2013-09-15 05:00:00,19.4
KRNM0,2013-09-15 06:00:00,18.3
KRNM0,2013-09-15 07:00:00,17.2
KRNM0,2013-09-15 08:00:00,15.6
KRNM0,2013-09-15 09:00:00,16.1
KRNM0,2013-09-15 10:00:00,14.4
KRNM0,2013-09-15 11:00:00,14.4
KRNM0,2013-09-15 12:00:00,15.0
KRNM0,2013-09-15 13:00:00,13.3
KRNM0,2013-09-15 14:00:00,14.4
KRNM0,2013-09-15 15:00:00,20.6
KRNM0,2013-09-15 16:00:00,28.3
KRNM0,2013-09-15 17:00:00,32.8
KRNM0,2013-09-15 18:00:00,33.3
KRNM0,2013-09-15 19:00:00,34.4
KRNM0,2013-09-15 20:00:00,35.0
KRNM0,2013-09-15 21:00:00,35.6
KRNM0,2013-09-15 22:00:00,35.6
KRNM0,2013-09-15 23:00:00,34.4
KRNM0,2013-09-16 00:00:00,33.3
KRNM0,2013-09-16 01:00:00,30.6
KRNM0,2013-09-16 02:00:00,26.1
KRNM0,2013-09-16 03:00:00,22.8
KRNM0,2013-09-16 04:00:00,21.7
KRNM0,2013-09-16 05:00:00,20.6
KRNM0,2013-09-16 06:00:00,17.8
KRNM0,2013-09-16 07:00:00,17.2
KRNM0,2013-09-16 08:00:00,15.0
KRNM0,2013-09-16 09:00:00,15.6
KRNM0,2013-09-16 10:00:00,14.4
KRNM0,2013-09-16 11:00:00,14.4
KRNM0,2013-09-16 12:00:00,13.3
KRNM0,2013-09-16 13:00:00,14.4
KRNM0,2013-09-16 14:00:00,14.4
KRNM0,2013-09-16 15:00:00,20.0
KRNM0,2013-09-16 16:00:00,27.8
KRNM0,2013-09-16 17:00:00,32.8
KRNM0,2013-09-16 18:00:00,33.9
KRNM0,2013-09-16 19:00:00,33.9
KRNM0,2013-09-16 20:00:00,32.8
KRNM0,2013-09-16 21:00:00,31.7
KRNM0,2013-09-16 22:00:00,32.2
KRNM0,2013-09-16 23:00:00,32.2
KRNM0,2013-09-17 00:00:00,31.7
KRNM0,2013-09-17 01:00:00,29.4
KRNM0,2013-09-17 02:00:00,25.0
KRNM0,2013-09-17 03:00:00,22.2
KRNM0,2013-09-17 04:00:00,18.9
KRNM0,2013-09-17 05:00:00,18.9
KRNM0,2013-09-17 06:00:00,17.2
KRNM0,2013-09-17 07:00:00,16.7
KRNM0,2013-09-17 08:00:00,15.0
KRNM0,2013-09-17 09:00:00,14.4
KRNM0,2013-09-17 10:00:00,13.3
KRNM0,2013-09-17 11:00:00,12.8
KRNM0,2013-09-17 12:00:00,11.1
KRNM0,2013-09-17 13:00:00,12.2
KRNM0,2013-09-17 14:00:00,11.1
KRNM0,2013-09-17 15:00:00,12.8
KRNM0,2013-09-17 16:00:00,17.2
KRNM0,2013-09-17 17:00:00,23.3
KRNM0,2013-09-17 18:00:00,23.3
KRNM0,2013-09-17 19:00:00,25.0
KRNM0,2013-09-17 20:00:00,27.8
KRNM0,2013-09-17 21:00:00,28.9
KRNM0,2013-09-17 22:00:00,29.4
KRNM0,2013-09-17 23:00:00,28.3
KRNM0,2013-09-18 00:00:00,27.2
KRNM0,2013-09-18 01:00:00,24.4
KRNM0,2013-09-18 02:00:00,20.6
KRNM0,2013-09-18 03:00:00,17.2
KRNM0,2013-09-18 04:00:00,15.0
KRNM0,2013-09-18 05:00:00,15.0
KRNM0,2013-09-18 06:00:00,15.6
KRNM0,2013-09-18 07:00:00,14.4
KRNM0,2013-09-18 08:00:00,14.4
KRNM0,2013-09-18 09:00:00,14.4
KRNM0,2013-09-18 10:00:00,13.9
KRNM0,2013-09-18 11:00:00,13.9
KRNM0,2013-09-18 12:00:00,13.9
KRNM0,2013-09-18 13:00:00,13.3
KRNM0,2013-09-18 14:00:00,13.9
KRNM0,2013-09-18 15:00:00,14.4
KRNM0,2013-09-18 16:00:00,15.6
KRNM0,2013-09-18 17:00:00,18.9
KRNM0,2013-09-18 18:00:00,23.3
KRNM0,2013-09-18 19:00:00,25.0
KRNM0,2013-09-18 20:00:00,27.2
KRNM0,2013-09-18 21:00:00,25.6
KRNM0,2013-09-18 22:00:00,25.0
KRNM0,2013-09-18 23:00:00,25.6
KRNM0,2013-09-19 00:00:00,24.4
KRNM0,2013-09-19 01:00:00,22.2
KRNM0,2013-09-19 02:00:00,18.3
KRNM0,2013-09-19 03:00:00,16.1
KRNM0,2013-09-19 04:00:00,14.4
KRNM0,2013-09-19 05:00:00,13.9
KRNM0,2013-09-19 06:00:00,13.9
KRNM0,2013-09-19 07:00:00,13.9
